Name,Importance,Classification
Howrah,High,Transit
Shovabazar,Low,Residential
Shyamabazar,High,Transit
Ulta Donga,Medium,Residential
Airport,Low,Transit
MG Road,Medium,Business
Khanna,Medium,Business
Sealdah,High,Transit
Belinghata,Low,Residential
Philips,Low,Residential
Moulali,Medium,Residential
Espanone,Medium,Business
Park Street,Medium,Business
Malik Bazar,Medium,Business
Park Circus,High,Residential
Gariahat,Medium,Business
Ruby,Low,Residential
KP,High,Residential
S.L,Low,Residential
8B,High,Transit
